date,1. open,2. high,3. low,4. close,5. volume
2024-03-22,445.35,447.49,444.49,446.38,28253899.0
2024-03-21,448.88,449.34,445.67,445.87,39345652.0
2024-03-20,439.78,444.11,438.06,443.77,43653490.0
2024-03-19,435.45,438.98,433.33,438.57,43004105.0
2024-03-18,438.73,441.04,437.24,437.48,47323802.0
2024-03-15,436.07,438.8733,432.7417,433.92,73069824.0
2024-03-14,441.5,442.03,436.39,439.14,51676863.0
2024-03-13,442.65,442.67,439.12,440.25,37524784.0
2024-03-12,439.73,444.02,436.46,443.66,54807079.0
2024-03-11,437.51,438.66,435.44,437.39,45587719.0
2024-03-08,445.81,448.64,438.34,439.02,72095957.0
2024-03-07,442.42,446.72,440.86,445.45,44526666.0
2024-03-06,440.32,441.99,436.89,438.79,46234460.0
2024-03-05,440.94,440.95,433.65,436.05,57917135.0
2024-03-04,445.61,446.04,443.77,444.02,34325687.0
2024-03-01,439.9,446.58,439.84,445.61,43853029.0
2024-02-29,438.23,440.09,435.02,439.0,42495152.0
2024-02-28,435.43,436.67,434.3,435.27,32938821.0
2024-02-27,437.67,437.99,435.025,437.6,33713220.0
2024-02-26,437.6,438.6,436.355,436.55,33043238.0
2024-02-23,439.65,440.59,435.79,436.78,39853861.0
2024-02-22,434.49,439.12,433.71,438.07,53887751.0
2024-02-21,424.55,425.7,421.63,425.61,50179697.0
2024-02-20,428.55,430.08,423.5,427.32,53999452.0
2024-02-16,434.89,434.99,429.85,430.57,53716475.0
2024-02-15,433.92,434.98,431.33,434.51,38796137.0
2024-02-14,431.26,433.65,428.8799,433.22,45092722.0
2024-02-13,427.28,431.27,425.3305,428.55,64491669.0
2024-02-12,436.94,439.14,434.65,435.34,33203305.0
2024-02-09,433.94,437.845,433.1401,437.05,36943905.0
2024-02-08,432.11,433.56,431.42,432.79,29889892.0
2024-02-07,430.41,432.83,429.09,431.99,37712661.0
2024-02-06,429.61,430.22,425.22,427.59,35846134.0
2024-02-05,429.07,429.61,425.0,428.45,39889209.0
2024-02-02,423.8,430.24,422.79,429.01,59602435.0
2024-02-01,418.79,422.375,417.81,421.88,51008622.0
2024-01-31,420.85,422.8699,416.79,416.97,64010649.0
2024-01-30,427.1,427.68,424.38,425.3,36738956.0
2024-01-29,424.27,428.35,423.61,428.15,38694724.0
2024-01-26,424.44,426.21,423.15,423.81,37137028.0
2024-01-25,428.36,429.04,423.98,426.35,44367205.0
2024-01-24,427.44,429.85,425.33,425.83,46454185.0
2024-01-23,422.43,423.7,420.57,423.48,33003806.0
2024-01-22,423.41,424.7275,421.12,421.73,44880639.0
2024-01-19,415.22,421.34,414.625,421.18,70325123.0
2024-01-18,410.52,413.575,409.1601,412.99,59562505.0
2024-01-17,406.17,407.585,402.92,407.21,54385974.0
2024-01-16,408.31,411.12,406.83,409.52,43903027.0
2024-01-12,410.4,411.25,408.15,409.56,39594952.0
2024-01-11,409.79,411.2004,404.242,409.35,54536198.0
2024-01-10,406.07,409.515,405.17,408.5,33962774.0
2024-01-09,401.91,406.69,401.71,405.75,39132860.0
2024-01-08,397.99,405.24,397.8399,404.95,42473796.0
2024-01-05,396.45,399.56,395.34,396.75,44742783.0
2024-01-04,396.44,399.59,396.06,396.28,39432797.0
2024-01-03,399.93,401.0,397.89,398.33,47002803.0
2024-01-02,405.84,406.09,400.24,402.59,58026946.0
2023-12-29,411.28,411.64,407.58,409.52,42662120.0
2023-12-28,412.67,412.92,410.94,411.3,27029152.0
2023-12-27,410.95,411.7875,410.08,411.5,31833002.0
2023-12-26,409.25,411.56,409.15,410.88,22722545.0
2023-12-22,409.0,409.97,406.4787,408.38,34314003.0
2023-12-21,407.06,408.14,404.47,407.77,45568914.0
2023-12-20,408.35,410.4699,402.9,403.08,54042443.0
2023-12-19,407.54,409.28,407.345,409.16,35042759.0
2023-12-18,404.93,407.99,404.6,407.08,46609985.0
2023-12-15,404.18,406.5399,403.57,405.34,62896645.0
2023-12-14,404.98,406.3,400.34,403.39,55447808.0
2023-12-13,399.62,404.36,398.8399,403.74,55408129.0
2023-12-12,395.56,398.79,394.41,398.67,39221152.0
2023-12-11,391.74,395.79,391.53,395.52,41198021.0
2023-12-08,388.67,392.62,388.4801,392.17,46687525.0
2023-12-07,388.07,391.27,386.96,390.43,49593545.0
2023-12-06,390.27,390.37,384.7,385.05,41522328.0
2023-12-05,384.39,388.5,384.21,387.29,42932956.0
2023-12-04,386.09,386.595,382.66,386.32,51186944.0
2023-12-01,387.75,390.54,386.0726,389.94,40490068.0
2023-11-30,390.08,390.55,385.82,388.83,52834381.0
2023-11-29,392.69,394.14,389.46,389.81,38811745.0
2023-11-28,388.41,390.78,388.05,390.19,35491123.0
2023-11-27,389.01,391.1499,388.28,389.17,34139656.0
2023-11-24,389.65,390.25,388.5,389.51,15718832.0
2023-11-22,390.57,393.07,389.04,390.06,44178572.0
2023-11-21,389.01,389.23,386.7,388.47,43336989.0
2023-11-20,386.05,391.41,386.05,390.74,44536669.0
2023-11-17,385.21,387.07,384.29,386.04,46622745.0
2023-11-16,384.84,386.19,383.56,385.95,45343544.0
2023-11-15,387.25,387.75,384.235,385.62,54141385.0
2023-11-14,383.71,386.26,383.18,385.33,67792634.0
2023-11-13,376.79,378.28,375.24,377.21,40733505.0
2023-11-10,371.82,378.54,371.28,378.39,58368439.0
2023-11-09,373.64,374.8,369.57,370.07,53859421.0
2023-11-08,373.08,373.79,370.62,372.94,35663373.0
2023-11-07,370.27,373.58,369.045,372.7,50777398.0
2023-11-06,368.49,369.78,366.91,369.21,38848743.0
2023-11-03,364.75,369.02,364.52,367.71,53280457.0
2023-11-02,361.54,363.68,360.3,363.44,58162442.0
2023-11-01,351.72,357.5298,351.62,356.96,58992666.0
2023-10-31,349.23,351.25,346.62,350.87,47671906.0
2023-10-30,347.83,350.54,346.45,349.2,55298536.0
