model_type,sequence_length,hidden_dims,num_layers,num_epochs,lr,score
LSTM,10,20,2,80,0.005,0.0006493671599089839
LSTM,10,20,2,80,0.01,0.0005295271257337926
LSTM,10,20,2,80,0.015,0.0005687105679883181
LSTM,10,20,2,80,0.02,0.0005830982639640248
LSTM,10,20,2,100,0.005,0.0005054226072199657
LSTM,10,20,2,100,0.01,0.000495677098009234
LSTM,10,20,2,100,0.015,0.000517273562423605
LSTM,10,20,2,100,0.02,0.000484116295123593
LSTM,10,20,2,120,0.005,0.000505282601835907
LSTM,10,20,2,120,0.01,0.0004881266259838986
LSTM,10,20,2,120,0.015,0.0004844020507583058
LSTM,10,20,2,120,0.02,0.0005217083768408124
LSTM,10,20,2,140,0.005,0.0004847926393978025
LSTM,10,20,2,140,0.01,0.00046937461134305853
LSTM,10,20,2,140,0.015,0.0004683770725514614
LSTM,10,20,2,140,0.02,0.00046323054621491604
LSTM,10,20,2,160,0.005,0.0005124522146070874
LSTM,10,20,2,160,0.01,0.00047250128240840244
LSTM,10,20,2,160,0.015,0.0004830481301647248
LSTM,10,20,2,160,0.02,0.00047551380667591275
LSTM,10,20,2,180,0.005,0.0004753758962691567
LSTM,10,20,2,180,0.01,0.00046825674216151834
LSTM,10,20,2,180,0.015,0.0004731034246824121
LSTM,10,20,2,180,0.02,0.00047394153527024633
LSTM,10,24,2,80,0.005,0.0007109937599823914
LSTM,10,24,2,80,0.01,0.0005347218466811588
LSTM,10,24,2,80,0.015,0.0005401925340983055
LSTM,10,24,2,80,0.02,0.0005151078243848453
LSTM,10,24,2,100,0.005,0.0005232165714579114
LSTM,10,24,2,100,0.01,0.00048725334039267053
LSTM,10,24,2,100,0.015,0.0005353160044564068
LSTM,10,24,2,100,0.02,0.0004935719121664732
LSTM,10,24,2,120,0.005,0.0005019075273124755
LSTM,10,24,2,120,0.01,0.0005038315898558395
LSTM,10,24,2,120,0.015,0.00046779214692301994
LSTM,10,24,2,120,0.02,0.00048379259515430705
LSTM,10,24,2,140,0.005,0.0004716211564491273
LSTM,10,24,2,140,0.01,0.0004754687926466114
LSTM,10,24,2,140,0.015,0.00047919843801088756
LSTM,10,24,2,140,0.02,0.0004976703726589214
LSTM,10,24,2,160,0.005,0.0004687925317465566
LSTM,10,24,2,160,0.01,0.00046849995434053817
LSTM,10,24,2,160,0.015,0.0004785819421190547
LSTM,10,24,2,160,0.02,0.00048821700246427183
LSTM,10,24,2,180,0.005,0.00048170167233831205
LSTM,10,24,2,180,0.01,0.0004627299534204994
LSTM,10,24,2,180,0.015,0.0004626919054721227
LSTM,10,24,2,180,0.02,0.0004724381515025811
LSTM,10,28,2,80,0.005,0.000636732477247482
LSTM,10,28,2,80,0.01,0.0005433426269770425
LSTM,10,28,2,80,0.015,0.0005370398592940914
LSTM,10,28,2,80,0.02,0.0005045445883674707
LSTM,10,28,2,100,0.005,0.0005545716408715203
LSTM,10,28,2,100,0.01,0.0004945645813914861
LSTM,10,28,2,100,0.015,0.0004884007520046596
LSTM,10,28,2,100,0.02,0.00048710369625691265
LSTM,10,28,2,120,0.005,0.0005030341398606612
LSTM,10,28,2,120,0.01,0.00048202416948359876
LSTM,10,28,2,120,0.015,0.00047878475692123907
LSTM,10,28,2,120,0.02,0.0004908717010972387
LSTM,10,28,2,140,0.005,0.0004900322706917983
LSTM,10,28,2,140,0.01,0.00047815871931305103
LSTM,10,28,2,140,0.015,0.00046361830621711005
LSTM,10,28,2,140,0.02,0.0004610756251528012
LSTM,10,28,2,160,0.005,0.00048471474202036737
LSTM,10,28,2,160,0.01,0.0004731602755668511
LSTM,10,28,2,160,0.015,0.0004767760930639132
LSTM,10,28,2,160,0.02,0.0004679572626168938
LSTM,10,28,2,180,0.005,0.00047051081467387707
LSTM,10,28,2,180,0.01,0.0004649243023023329
LSTM,10,28,2,180,0.015,0.0004689743397888906
LSTM,10,28,2,180,0.02,0.00046904582416252676
LSTM,10,32,2,80,0.005,0.0006667104288568804
LSTM,10,32,2,80,0.01,0.0005698355259467596
LSTM,10,32,2,80,0.015,0.000507315371425485
LSTM,10,32,2,80,0.02,0.0005860113519178514
LSTM,10,32,2,100,0.005,0.0005445920496591113
LSTM,10,32,2,100,0.01,0.0004996478161990811
LSTM,10,32,2,100,0.015,0.0004725856147614595
LSTM,10,32,2,100,0.02,0.0004929680570310836
LSTM,10,32,2,120,0.005,0.0005331509288949122
LSTM,10,32,2,120,0.01,0.0004960913319634716
LSTM,10,32,2,120,0.015,0.000513963841017735
LSTM,10,32,2,120,0.02,0.0005231163511170737
LSTM,10,32,2,140,0.005,0.00048164920175599435
LSTM,10,32,2,140,0.01,0.00047564461192486777
LSTM,10,32,2,140,0.015,0.00048251294295872796
LSTM,10,32,2,140,0.02,0.0004875163338053044
LSTM,10,32,2,160,0.005,0.0004700882933013714
LSTM,10,32,2,160,0.01,0.0004689762110952372
LSTM,10,32,2,160,0.015,0.0004615995487812063
LSTM,10,32,2,160,0.02,0.00048523743294133243
LSTM,10,32,2,180,0.005,0.00047442393015420205
LSTM,10,32,2,180,0.01,0.0004662457636019374
LSTM,10,32,2,180,0.015,0.0004680248273417055
LSTM,10,32,2,180,0.02,0.0004690917297235483
LSTM,10,36,2,80,0.005,0.000630381692052563
LSTM,10,36,2,80,0.01,0.0005420406685812743
LSTM,10,36,2,80,0.015,0.000555764029721916
LSTM,10,36,2,80,0.02,0.0005283893042574426
LSTM,10,36,2,100,0.005,0.0005566156252756768
LSTM,10,36,2,100,0.01,0.000509542391785109
LSTM,10,36,2,100,0.015,0.0004960874782714493
LSTM,10,36,2,100,0.02,0.0004914386317917216
LSTM,10,36,2,120,0.005,0.000513495798894295
LSTM,10,36,2,120,0.01,0.0004909840625637181
LSTM,10,36,2,120,0.015,0.00047320937980497083
LSTM,10,36,2,120,0.02,0.0005072145319836811
LSTM,10,36,2,140,0.005,0.00048711580136273126
LSTM,10,36,2,140,0.01,0.0004709207808056131
LSTM,10,36,2,140,0.015,0.0004934067671654293
LSTM,10,36,2,140,0.02,0.0004850136769497006
LSTM,10,36,2,160,0.005,0.0004718837750210556
LSTM,10,36,2,160,0.01,0.0004764133052555332
LSTM,10,36,2,160,0.015,0.000476703220029105
LSTM,10,36,2,160,0.02,0.0004701946449411411
LSTM,10,36,2,180,0.005,0.00047091352499406113
LSTM,10,36,2,180,0.01,0.0004685219766341971
LSTM,10,36,2,180,0.015,0.00047071781658154517
LSTM,10,36,2,180,0.02,0.0004629193801145265
LSTM,20,20,2,80,0.005,0.0006615918786316292
LSTM,20,20,2,80,0.01,0.0005288132865193293
LSTM,20,20,2,80,0.015,0.0005624403220593583
LSTM,20,20,2,80,0.02,0.0005742076652912345
LSTM,20,20,2,100,0.005,0.000552582460645927
LSTM,20,20,2,100,0.01,0.0005045113473656229
LSTM,20,20,2,100,0.015,0.0004952695948275192
LSTM,20,20,2,100,0.02,0.000499787718501925
LSTM,20,20,2,120,0.005,0.0005356021660460311
LSTM,20,20,2,120,0.01,0.0004853834318425547
LSTM,20,20,2,120,0.015,0.0004994330709065144
LSTM,20,20,2,120,0.02,0.00048539549310447225
LSTM,20,20,2,140,0.005,0.0005215787790659728
LSTM,20,20,2,140,0.01,0.00048476170859967736
LSTM,20,20,2,140,0.015,0.00047466937360538116
LSTM,20,20,2,140,0.02,0.0004848291237157021
LSTM,20,20,2,160,0.005,0.0004816545062728836
LSTM,20,20,2,160,0.01,0.00047635427935252274
LSTM,20,20,2,160,0.015,0.0004900961492817511
LSTM,20,20,2,160,0.02,0.0004764382609235413
LSTM,20,20,2,180,0.005,0.0004681803442591815
LSTM,20,20,2,180,0.01,0.0004677297660606248
LSTM,20,20,2,180,0.015,0.0004754847467660747
LSTM,20,20,2,180,0.02,0.00046447445942271595
LSTM,20,24,2,80,0.005,0.0006210127382262525
LSTM,20,24,2,80,0.01,0.000545932488732512
LSTM,20,24,2,80,0.015,0.0006273658232992791
LSTM,20,24,2,80,0.02,0.0005041213569587742
LSTM,20,24,2,100,0.005,0.0005628417330771846
LSTM,20,24,2,100,0.01,0.00048402157797357905
LSTM,20,24,2,100,0.015,0.0005087108249367802
LSTM,20,24,2,100,0.02,0.0004840269752939031
LSTM,20,24,2,120,0.005,0.0005339078057463145
LSTM,20,24,2,120,0.01,0.0004840853586993302
LSTM,20,24,2,120,0.015,0.00047767020617200137
LSTM,20,24,2,120,0.02,0.0004994378537541253
LSTM,20,24,2,140,0.005,0.00048230797076016275
LSTM,20,24,2,140,0.01,0.00047824700886743386
LSTM,20,24,2,140,0.015,0.0004831824762471071
LSTM,20,24,2,140,0.02,0.0004680817635573601
LSTM,20,24,2,160,0.005,0.00048613909668267853
LSTM,20,24,2,160,0.01,0.0004707893814358916
LSTM,20,24,2,160,0.015,0.00046826228575632095
LSTM,20,24,2,160,0.02,0.00048263430757790424
LSTM,20,24,2,180,0.005,0.00047733103472312016
LSTM,20,24,2,180,0.01,0.00047045085551819537
LSTM,20,24,2,180,0.015,0.0004774329466180771
LSTM,20,24,2,180,0.02,0.000477567843021047
LSTM,20,28,2,80,0.005,0.0006306813956077614
LSTM,20,28,2,80,0.01,0.0005058903275184508
LSTM,20,28,2,80,0.015,0.0005825266063583242
LSTM,20,28,2,80,0.02,0.0005153908102938886
LSTM,20,28,2,100,0.005,0.0005515593655976993
LSTM,20,28,2,100,0.01,0.0004841357179117607
LSTM,20,28,2,100,0.015,0.0004962064316366331
LSTM,20,28,2,100,0.02,0.0005728946928250875
LSTM,20,28,2,120,0.005,0.0004950814891432289
LSTM,20,28,2,120,0.01,0.0004800591103918775
LSTM,20,28,2,120,0.015,0.0004839528708994885
LSTM,20,28,2,120,0.02,0.0004912217950399909
LSTM,20,28,2,140,0.005,0.0005137175047204721
LSTM,20,28,2,140,0.01,0.00048170170782796493
LSTM,20,28,2,140,0.015,0.000469711163279362
LSTM,20,28,2,140,0.02,0.0004642883293195621
LSTM,20,28,2,160,0.005,0.0004811727746503659
LSTM,20,28,2,160,0.01,0.0004853513713718255
LSTM,20,28,2,160,0.015,0.0004835284634675214
LSTM,20,28,2,160,0.02,0.0004817784522804705
LSTM,20,28,2,180,0.005,0.0004796020840671515
LSTM,20,28,2,180,0.01,0.00046880811906726796
LSTM,20,28,2,180,0.015,0.0004927259285289205
LSTM,20,28,2,180,0.02,0.00047877255967526406
LSTM,20,32,2,80,0.005,0.0005796982592911829
LSTM,20,32,2,80,0.01,0.0004937186888602124
LSTM,20,32,2,80,0.015,0.0005579803948949467
LSTM,20,32,2,80,0.02,0.0005042097954543036
LSTM,20,32,2,100,0.005,0.0005377658858860828
LSTM,20,32,2,100,0.01,0.0005082110502294644
LSTM,20,32,2,100,0.015,0.000528460588780736
LSTM,20,32,2,100,0.02,0.0005426733441802367
LSTM,20,32,2,120,0.005,0.0004955822030020255
LSTM,20,32,2,120,0.01,0.0004876745045007772
LSTM,20,32,2,120,0.015,0.0004731936340876896
LSTM,20,32,2,120,0.02,0.0004930890241141795
LSTM,20,32,2,140,0.005,0.000493628024981568
LSTM,20,32,2,140,0.01,0.00047291775615660337
LSTM,20,32,2,140,0.015,0.000492267288574427
LSTM,20,32,2,140,0.02,0.00047391929007770177
LSTM,20,32,2,160,0.005,0.00047762730533553143
LSTM,20,32,2,160,0.01,0.00047156555137339455
LSTM,20,32,2,160,0.015,0.0004693735071338545
LSTM,20,32,2,160,0.02,0.0004635683939871934
LSTM,20,32,2,180,0.005,0.00046971781923732525
LSTM,20,32,2,180,0.01,0.00047854481906709384
LSTM,20,32,2,180,0.015,0.000489912467058713
LSTM,20,32,2,180,0.02,0.0004905356488332256
LSTM,20,36,2,80,0.005,0.0005631229849892889
LSTM,20,36,2,80,0.01,0.0005495627467159932
LSTM,20,36,2,80,0.015,0.0005770405975957307
LSTM,20,36,2,80,0.02,0.0005476014220226294
LSTM,20,36,2,100,0.005,0.0005548458698886314
LSTM,20,36,2,100,0.01,0.0005282736052012852
LSTM,20,36,2,100,0.015,0.0005288264904166437
LSTM,20,36,2,100,0.02,0.0004747374927125242
LSTM,20,36,2,120,0.005,0.0004910406787769253
LSTM,20,36,2,120,0.01,0.0004771766772910463
LSTM,20,36,2,120,0.015,0.0005279261508118624
LSTM,20,36,2,120,0.02,0.0005011702202317065
LSTM,20,36,2,140,0.005,0.00047789509223734064
LSTM,20,36,2,140,0.01,0.00046659167003854383
LSTM,20,36,2,140,0.015,0.00047007291415428686
LSTM,20,36,2,140,0.02,0.0004940596663035559
LSTM,20,36,2,160,0.005,0.00047071280338551884
LSTM,20,36,2,160,0.01,0.0004667771527100188
LSTM,20,36,2,160,0.015,0.0004787632335414479
LSTM,20,36,2,160,0.02,0.0004706330837486234
LSTM,20,36,2,180,0.005,0.00046574348787812366
LSTM,20,36,2,180,0.01,0.00047051223265469593
LSTM,20,36,2,180,0.015,0.0004816130309289566
LSTM,20,36,2,180,0.02,0.00046834804076350265
LSTM,30,20,2,80,0.005,0.0006259578077489828
LSTM,30,20,2,80,0.01,0.0005150619488626047
LSTM,30,20,2,80,0.015,0.0005203228765380039
LSTM,30,20,2,80,0.02,0.0005520261809432474
LSTM,30,20,2,100,0.005,0.0005195970022882918
LSTM,30,20,2,100,0.01,0.0005179194171247666
LSTM,30,20,2,100,0.015,0.0005044440703672846
LSTM,30,20,2,100,0.02,0.0005387551122169777
LSTM,30,20,2,120,0.005,0.000542161207424005
LSTM,30,20,2,120,0.01,0.00048446425218810876
LSTM,30,20,2,120,0.015,0.0004806410595921584
LSTM,30,20,2,120,0.02,0.00047093344576441115
LSTM,30,20,2,140,0.005,0.0005016924665691997
LSTM,30,20,2,140,0.01,0.0004729852374772827
LSTM,30,20,2,140,0.015,0.0004836328691804289
LSTM,30,20,2,140,0.02,0.0004947833282569518
LSTM,30,20,2,160,0.005,0.0004768609015100546
LSTM,30,20,2,160,0.01,0.0004733971598625981
LSTM,30,20,2,160,0.015,0.000480875189675634
LSTM,30,20,2,160,0.02,0.00047678111742253715
LSTM,30,20,2,180,0.005,0.00047044866495106463
LSTM,30,20,2,180,0.01,0.0004780027705207739
LSTM,30,20,2,180,0.015,0.00047377325764591977
LSTM,30,20,2,180,0.02,0.0004737066018080659
LSTM,30,24,2,80,0.005,0.0006049320657166804
LSTM,30,24,2,80,0.01,0.000533190049733619
LSTM,30,24,2,80,0.015,0.000530159628090999
LSTM,30,24,2,80,0.02,0.0004893370072153374
LSTM,30,24,2,100,0.005,0.0005891383565642458
LSTM,30,24,2,100,0.01,0.0004960604483178801
LSTM,30,24,2,100,0.015,0.0004915371057010934
LSTM,30,24,2,100,0.02,0.0005405150259722271
LSTM,30,24,2,120,0.005,0.0005086300129191224
LSTM,30,24,2,120,0.01,0.0004861599875915274
LSTM,30,24,2,120,0.015,0.0005038841049043762
LSTM,30,24,2,120,0.02,0.0005006390606764269
LSTM,30,24,2,140,0.005,0.0004837099225904887
LSTM,30,24,2,140,0.01,0.00047018911203666877
LSTM,30,24,2,140,0.015,0.00048827029272613284
LSTM,30,24,2,140,0.02,0.0005260191368312225
LSTM,30,24,2,160,0.005,0.0004690734467507072
LSTM,30,24,2,160,0.01,0.0004680570767360594
LSTM,30,24,2,160,0.015,0.00047096311526797607
LSTM,30,24,2,160,0.02,0.0004767377663739609
LSTM,30,24,2,180,0.005,0.0004695091420686621
LSTM,30,24,2,180,0.01,0.0004742911260452817
LSTM,30,24,2,180,0.015,0.0004649207809587734
LSTM,30,24,2,180,0.02,0.00048512474556932316
LSTM,30,28,2,80,0.005,0.0005904678659363643
LSTM,30,28,2,80,0.01,0.000511120156156311
LSTM,30,28,2,80,0.015,0.0005156640425560839
LSTM,30,28,2,80,0.02,0.0005145386733222344
LSTM,30,28,2,100,0.005,0.0005610751587368392
LSTM,30,28,2,100,0.01,0.0005026050747303788
LSTM,30,28,2,100,0.015,0.0005000145507114693
LSTM,30,28,2,100,0.02,0.000539400517921549
LSTM,30,28,2,120,0.005,0.0004908489747910938
LSTM,30,28,2,120,0.01,0.0004890560216645545
LSTM,30,28,2,120,0.015,0.0004984700730296121
LSTM,30,28,2,120,0.02,0.0004739419707797409
LSTM,30,28,2,140,0.005,0.0005076186126008817
LSTM,30,28,2,140,0.01,0.00047218866167837644
LSTM,30,28,2,140,0.015,0.0004719272070763507
LSTM,30,28,2,140,0.02,0.0005078725563737601
LSTM,30,28,2,160,0.005,0.00048085904217252316
LSTM,30,28,2,160,0.01,0.00046967367990051256
LSTM,30,28,2,160,0.015,0.0004902229381192835
LSTM,30,28,2,160,0.02,0.0004984021237809746
LSTM,30,28,2,180,0.005,0.00047245851926525225
LSTM,30,28,2,180,0.01,0.00046862319376880253
LSTM,30,28,2,180,0.015,0.0004827097752119228
LSTM,30,28,2,180,0.02,0.00046713169265806743
LSTM,30,32,2,80,0.005,0.0006041188227507907
LSTM,30,32,2,80,0.01,0.000520186817024598
LSTM,30,32,2,80,0.015,0.0005403957030703042
LSTM,30,32,2,80,0.02,0.0005323969604779322
LSTM,30,32,2,100,0.005,0.0005131332702690043
LSTM,30,32,2,100,0.01,0.0005131601260463199
LSTM,30,32,2,100,0.015,0.0005172698558232973
LSTM,30,32,2,100,0.02,0.000511409276003556
LSTM,30,32,2,120,0.005,0.0005036703598257948
LSTM,30,32,2,120,0.01,0.0004903157521134731
LSTM,30,32,2,120,0.015,0.0005035717045521467
LSTM,30,32,2,120,0.02,0.0004812232428715593
LSTM,30,32,2,140,0.005,0.0004846610129307698
LSTM,30,32,2,140,0.01,0.0004807153073963091
LSTM,30,32,2,140,0.015,0.00048643861131615016
LSTM,30,32,2,140,0.02,0.0004902373651223103
LSTM,30,32,2,160,0.005,0.00046840731511302536
LSTM,30,32,2,160,0.01,0.00047060393805642143
LSTM,30,32,2,160,0.015,0.0004761339511136991
LSTM,30,32,2,160,0.02,0.0004724099055291811
LSTM,30,32,2,180,0.005,0.000474774615392151
LSTM,30,32,2,180,0.01,0.00047280215083700714
LSTM,30,32,2,180,0.015,0.00047509948583557754
LSTM,30,32,2,180,0.02,0.0004903564268093381
LSTM,30,36,2,80,0.005,0.0005528124876561021
LSTM,30,36,2,80,0.01,0.0004981383544434071
LSTM,30,36,2,80,0.015,0.0005269241374875205
LSTM,30,36,2,80,0.02,0.0004947906908218617
LSTM,30,36,2,100,0.005,0.000529618190350204
LSTM,30,36,2,100,0.01,0.0004946465639097548
LSTM,30,36,2,100,0.015,0.0004910932713952488
LSTM,30,36,2,100,0.02,0.00046487004013834
LSTM,30,36,2,120,0.005,0.0004775871010426431
LSTM,30,36,2,120,0.01,0.00047900005318711914
LSTM,30,36,2,120,0.015,0.0004998312562079498
LSTM,30,36,2,120,0.02,0.0004654989651743144
LSTM,30,36,2,140,0.005,0.0004806180940659523
LSTM,30,36,2,140,0.01,0.00048415827925127255
LSTM,30,36,2,140,0.015,0.00047955002740337685
LSTM,30,36,2,140,0.02,0.0004797121675512204
LSTM,30,36,2,160,0.005,0.0004693259444165097
LSTM,30,36,2,160,0.01,0.0004829733543634973
LSTM,30,36,2,160,0.015,0.0004730458134229355
LSTM,30,36,2,160,0.02,0.0004945336611307317
LSTM,30,36,2,180,0.005,0.00047103457182203813
LSTM,30,36,2,180,0.01,0.00048745301610162616
LSTM,30,36,2,180,0.015,0.0004705546025962868
LSTM,30,36,2,180,0.02,0.00047708088664592373
LSTM,40,20,2,80,0.005,0.0006446424622889093
LSTM,40,20,2,80,0.01,0.0005240760977757416
LSTM,40,20,2,80,0.015,0.0005167708280770102
LSTM,40,20,2,80,0.02,0.0005283298245024159
LSTM,40,20,2,100,0.005,0.0005586322350215257
LSTM,40,20,2,100,0.01,0.0004865705189602279
LSTM,40,20,2,100,0.015,0.0004861963060011182
LSTM,40,20,2,100,0.02,0.0005477984875949805
LSTM,40,20,2,120,0.005,0.0005525842590340197
LSTM,40,20,2,120,0.01,0.0004893381926364065
LSTM,40,20,2,120,0.015,0.0004777844831316188
LSTM,40,20,2,120,0.02,0.0004906232186837813
LSTM,40,20,2,140,0.005,0.00048685342900503195
LSTM,40,20,2,140,0.01,0.0004757737878120835
LSTM,40,20,2,140,0.015,0.00047281858057640006
LSTM,40,20,2,140,0.02,0.00047457466205675264
LSTM,40,20,2,160,0.005,0.0004959002744539286
LSTM,40,20,2,160,0.01,0.00047756390515413526
LSTM,40,20,2,160,0.015,0.00047234780222813296
LSTM,40,20,2,160,0.02,0.0004681162792918759
LSTM,40,20,2,180,0.005,0.0004892979814058223
LSTM,40,20,2,180,0.01,0.00047760575015118686
LSTM,40,20,2,180,0.015,0.00047355849784060545
LSTM,40,20,2,180,0.02,0.00048395173792973825
LSTM,40,24,2,80,0.005,0.0006651132967319682
LSTM,40,24,2,80,0.01,0.00048446418252706675
LSTM,40,24,2,80,0.015,0.0005147051726068836
LSTM,40,24,2,80,0.02,0.0006006211894086086
LSTM,40,24,2,100,0.005,0.0005504661838880547
LSTM,40,24,2,100,0.01,0.0005015334521762343
LSTM,40,24,2,100,0.015,0.0005086502897669022
LSTM,40,24,2,100,0.02,0.0005180309477798441
LSTM,40,24,2,120,0.005,0.0004891042430333625
LSTM,40,24,2,120,0.01,0.000488494912727915
LSTM,40,24,2,120,0.015,0.0005219948820696686
LSTM,40,24,2,120,0.02,0.0005267838844218484
LSTM,40,24,2,140,0.005,0.0004873923197172801
LSTM,40,24,2,140,0.01,0.0004831835285341127
LSTM,40,24,2,140,0.015,0.00048789639136671587
LSTM,40,24,2,140,0.02,0.0004767117906826841
LSTM,40,24,2,160,0.005,0.00047625255482344183
LSTM,40,24,2,160,0.01,0.0004714738950667977
LSTM,40,24,2,160,0.015,0.0004771609059793209
LSTM,40,24,2,160,0.02,0.0004906681749138609
LSTM,40,24,2,180,0.005,0.00047855863031789913
LSTM,40,24,2,180,0.01,0.0004726924594200584
LSTM,40,24,2,180,0.015,0.0004671452611849306
LSTM,40,24,2,180,0.02,0.0004788550064208915
LSTM,40,28,2,80,0.005,0.0006489824136162411
LSTM,40,28,2,80,0.01,0.0005759634121224477
LSTM,40,28,2,80,0.015,0.0005441730629021246
LSTM,40,28,2,80,0.02,0.0005429317520834761
LSTM,40,28,2,100,0.005,0.0005068161481029944
LSTM,40,28,2,100,0.01,0.0004953307355255881
LSTM,40,28,2,100,0.015,0.0005237823616608316
LSTM,40,28,2,100,0.02,0.0005250921458125151
LSTM,40,28,2,120,0.005,0.0004893772416176197
LSTM,40,28,2,120,0.01,0.0004772042702765957
LSTM,40,28,2,120,0.015,0.00047794022164636174
LSTM,40,28,2,120,0.02,0.0005229932891407458
LSTM,40,28,2,140,0.005,0.00047731165633132757
LSTM,40,28,2,140,0.01,0.00047586181129012655
LSTM,40,28,2,140,0.015,0.0004864026345775314
LSTM,40,28,2,140,0.02,0.0005082645714428659
LSTM,40,28,2,160,0.005,0.0004762423557453539
LSTM,40,28,2,160,0.01,0.00048668992081235513
LSTM,40,28,2,160,0.015,0.0004911774439155162
LSTM,40,28,2,160,0.02,0.0004876152520791542
LSTM,40,28,2,180,0.005,0.00046733603495850706
LSTM,40,28,2,180,0.01,0.0004708615288958284
LSTM,40,28,2,180,0.015,0.00047432799887082885
LSTM,40,28,2,180,0.02,0.00047785071039155514
LSTM,40,32,2,80,0.005,0.0006123960790707155
LSTM,40,32,2,80,0.01,0.0004925013200497133
LSTM,40,32,2,80,0.015,0.0005387089016145101
LSTM,40,32,2,80,0.02,0.0005463693495684422
LSTM,40,32,2,100,0.005,0.0005108917796928324
LSTM,40,32,2,100,0.01,0.0004973733270743215
LSTM,40,32,2,100,0.015,0.0004795916638893133
LSTM,40,32,2,100,0.02,0.0005173825315442335
LSTM,40,32,2,120,0.005,0.0004904191388105846
LSTM,40,32,2,120,0.01,0.0004964503137880955
LSTM,40,32,2,120,0.015,0.0004956423879770914
LSTM,40,32,2,120,0.02,0.0005144362963190099
LSTM,40,32,2,140,0.005,0.0004945887544303641
LSTM,40,32,2,140,0.01,0.0004902573029645075
LSTM,40,32,2,140,0.015,0.0004954495324765007
LSTM,40,32,2,140,0.02,0.00048425060179372513
LSTM,40,32,2,160,0.005,0.0004773523381211778
LSTM,40,32,2,160,0.01,0.0004842649054283069
LSTM,40,32,2,160,0.015,0.00046719277727130207
LSTM,40,32,2,160,0.02,0.0004888081957389866
LSTM,40,32,2,180,0.005,0.00047627462445466647
LSTM,40,32,2,180,0.01,0.0004801139134916708
LSTM,40,32,2,180,0.015,0.00047739712002608923
LSTM,40,32,2,180,0.02,0.00048819681733760394
LSTM,40,36,2,80,0.005,0.0005942841622471192
LSTM,40,36,2,80,0.01,0.0005693762899033927
LSTM,40,36,2,80,0.015,0.0005136168283673036
LSTM,40,36,2,80,0.02,0.0005148903311483523
LSTM,40,36,2,100,0.005,0.000507555286489029
LSTM,40,36,2,100,0.01,0.0005006481031614773
LSTM,40,36,2,100,0.015,0.000494541546227719
LSTM,40,36,2,100,0.02,0.0005408258654372148
LSTM,40,36,2,120,0.005,0.0004938741158428521
LSTM,40,36,2,120,0.01,0.0004915302452573151
LSTM,40,36,2,120,0.015,0.00048063322553606194
LSTM,40,36,2,120,0.02,0.0004801283667797967
LSTM,40,36,2,140,0.005,0.00047753718614753797
LSTM,40,36,2,140,0.01,0.0004841757635081655
LSTM,40,36,2,140,0.015,0.00047400079509005323
LSTM,40,36,2,140,0.02,0.0004792753761111691
LSTM,40,36,2,160,0.005,0.00048240641336092335
LSTM,40,36,2,160,0.01,0.000488299749980211
LSTM,40,36,2,160,0.015,0.0004774731199198649
LSTM,40,36,2,160,0.02,0.00048774001027404823
LSTM,40,36,2,180,0.005,0.0004741386694923399
LSTM,40,36,2,180,0.01,0.0004738506305711904
LSTM,40,36,2,180,0.015,0.0004688786783613118
LSTM,40,36,2,180,0.02,0.00048034264848985944
LSTM,50,20,2,80,0.005,0.0005575586319416839
LSTM,50,20,2,80,0.01,0.0005543968200502456
LSTM,50,20,2,80,0.015,0.0005218605662151248
